Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,Pos-Summary,Name-additional
352,Mauricio Dubón,29,HOU,AL,133,107,72,984.1,363,270,85,8,19,.978,12,15,6,7,-3,3.25,2.37,OF-2B-1B-3B-SS,dubonma01
353,Tyler Duffey,33,KCR,AL,9,0,0,9.0,1,1,0,0,0,1.000,,,0,0,0,1.00,0.11,P,duffety01
354,Matt Duffy,33,TEX,AL,4,2,2,20.1,5,2,3,0,0,1.000,1,34,1,59,0,2.21,1.25,3B,duffyma01
355,Blake Dunn,25,CIN,NL,17,7,3,75.0,18,18,0,0,0,1.000,2,30,0,0,0,2.16,1.06,OF,dunnbl01
356,Oliver Dunn,26,MIL,NL,28,18,9,156.0,48,11,37,0,4,1.000,4,32,3,23,0,2.77,1.66,3B-2B-1B,dunnol01
357,Dane Dunning,29,TEX,AL,26,15,0,95.0,18,10,7,1,0,.944,,,1,2,0,1.61,0.65,P,dunnida01
358,Parker Dunshee,29,ATL,NL,1,0,0,2.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P,dunshpa01
359,Ezequiel Duran,25,TEX,AL,75,63,45,553.0,228,138,85,5,18,.978,7,16,2,4,0,3.63,2.90,3B-OF-1B-SS-2B,duranez01
360,Jarren Duran,27,BOS,AL,160,160,125,1421.1,374,356,12,6,2,.984,3,2,23,19,3,2.33,2.30,OF,duranja01
361,Jhoan Durán,26,MIN,AL,58,0,0,54.1,20,8,11,1,0,.950,,,0,0,1,3.15,0.33,P,duranjh01
362,Adam Duvall,35,ATL,NL,91,74,68,685.0,157,151,4,2,0,.987,-6,-10,-3,-5,-1,2.04,1.70,OF,duvalad01
363,Jake Eder,25,CHW,AL,1,0,0,2.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P,ederja01
364,Tommy Edman,29,LAD,NL,37,35,29,317.0,122,82,36,4,6,.967,0,-1,1,3,0,3.35,2.74,OF-SS-2B,edmanto01
365,Carl Edwards Jr.,32,SDP,NL,1,0,0,0.0,0,0,0,0,0,,,,0,,,,0.00,P,edwarca01
366,Xavier Edwards,24,MIA,NL,70,68,65,599.0,247,91,149,7,32,.972,-14,-28,-8,-16,-1,3.61,3.43,SS-2B,edwarxa01
367,Scott Effross,30,NYY,AL,3,0,0,3.1,1,0,1,0,0,1.000,,,0,0,0,2.70,0.33,P,effrosc01
368,Zach Eflin,30,TOT,AL,28,28,0,165.1,27,7,20,0,0,1.000,,,4,29,0,1.47,0.96,P,eflinza01
369,Brandon Eisert,26,TOR,AL,3,0,0,6.2,1,1,0,0,0,1.000,,,0,0,0,1.35,0.33,P,eiserbr01
370,Bryce Elder,25,ATL,NL,10,10,0,49.2,9,6,3,0,2,1.000,,,-2,-8,0,1.63,0.90,P,elderbr01
371,Fraser Ellard,26,CHW,AL,25,0,0,24.0,4,1,2,1,1,.750,,,0,0,0,1.13,0.12,P,ellarfr01
372,Duke Ellis,26,TOT,AL,7,1,1,21.0,10,8,0,2,0,.800,-1,-58,-1,-57,0,3.43,1.14,OF,ellisdu01
373,Kent Emanuel,32,MIA,NL,12,0,0,17.2,7,2,5,0,0,1.000,,,1,11,0,3.57,0.58,P,emanuke01
374,Jerar Encarnacion,26,SFG,NL,18,13,9,123.0,33,30,2,1,2,.970,-3,-33,0,0,0,2.34,1.68,OF-1B,encarje01
375,Christian Encarnacion-Strand,24,CIN,NL,29,29,28,255.0,215,196,19,0,13,1.000,1,3,-1,-5,0,7.59,7.41,1B,encarch01
376,Mason Englert,24,DET,AL,12,1,0,21.2,1,1,0,0,0,1.000,,,0,0,0,0.42,0.08,P,englema01
377,Nathan Eovaldi,34,TEX,AL,29,29,0,170.2,38,29,8,1,0,.974,,,-1,-1,0,1.95,1.28,P,eovalna01
378,Lucas Erceg,29,TOT,AL,61,0,0,61.2,13,5,7,1,2,.923,,,0,0,0,1.75,0.20,P,erceglu01
379,Santiago Espinal,29,CIN,NL,105,90,79,816.2,253,85,162,6,20,.976,-2,-2,-5,-7,0,2.72,2.17,3B-2B-SS-OF,espinsa01
380,Paolo Espino,37,TOR,AL,3,1,0,8.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P,espinpa01
381,Joey Estes,22,OAK,AL,25,24,1,127.2,10,5,5,0,2,1.000,,,1,2,0,0.70,0.40,P,estesjo01
382,Carlos Estévez,31,TOT,ZZ,54,0,0,55.0,6,1,4,1,0,.833,,,0,0,0,0.82,0.09,P,estevca01
383,Jeremiah Estrada,25,SDP,NL,62,0,0,61.0,4,1,2,1,0,.750,,,-1,-3,0,0.44,0.05,P,estraje01
384,Thairo Estrada,28,SFG,NL,94,93,90,811.2,387,121,264,2,63,.995,-4,-7,-7,-10,1,4.27,4.10,2B,estrath01
385,Sandro Fabian,26,TEX,AL,3,2,0,13.0,1,1,0,0,0,1.000,0,-38,0,0,0,0.69,0.33,OF,fabiasa01
386,Alex Faedo,28,DET,AL,37,6,0,57.1,8,3,4,1,1,.875,,,1,3,0,1.10,0.19,P,faedoal01
387,Pete Fairbanks,30,TBR,AL,46,0,0,45.1,7,2,5,0,0,1.000,,,0,0,0,1.39,0.15,P,fairbpe01
388,Stuart Fairchild,28,CIN,NL,84,54,39,526.0,171,170,1,0,1,1.000,5,11,6,13,3,2.93,2.04,OF,faircst01
389,Bailey Falter,27,PIT,NL,28,28,0,142.1,17,6,11,0,0,1.000,,,-1,-1,0,1.07,0.61,P,falteba01
390,Buck Farmer,33,CIN,NL,61,1,0,71.0,6,3,3,0,0,1.000,,,-1,-3,0,0.76,0.10,P,farmebu01
391,Kyle Farmer,33,MIN,AL,102,59,29,565.0,188,57,129,2,17,.989,0,0,-4,-8,0,2.96,1.59,2B-3B-SS-P-1B,farmeky01
392,Calvin Faucher,28,MIA,NL,53,0,0,53.2,6,0,6,0,0,1.000,,,0,0,0,1.01,0.11,P,fauchca01
393,Erick Fedde,31,TOT,ZZ,31,31,0,177.1,23,13,9,1,1,.957,,,-1,-6,0,1.12,0.71,P,feddeer01
394,Hunter Feduccia,27,LAD,NL,4,3,3,28.0,34,32,2,0,0,1.000,0,-8,0,0,0,10.93,8.50,C,feduchu01
395,Brady Feigl,33,PIT,NL,1,0,0,1.2,2,0,2,0,1,1.000,,,0,0,0,10.80,2.00,P,feiglbr01
396,Ryan Feltner,27,COL,NL,30,30,0,162.1,20,12,8,0,1,1.000,,,-3,-4,0,1.11,0.67,P,feltnry01
397,Caleb Ferguson,27,TOT,AL,62,0,0,54.1,7,4,3,0,0,1.000,,,-1,-22,0,1.16,0.11,P,ferguca01
398,Tyler Ferguson,30,OAK,AL,48,0,0,51.1,2,0,2,0,0,1.000,,,1,4,0,0.35,0.04,P,ferguty01
399,Freddy Fermin,29,KCR,AL,91,72,71,663.0,674,634,35,5,2,.993,12,22,16,29,5,9.08,7.35,C,fermifr01
400,José Fermín,25,STL,NL,22,13,7,126.0,37,13,24,0,2,1.000,-3,-32,-1,-9,0,2.64,1.48,2B-3B-OF,fermijo01
401,Ryan Fernandez,26,STL,NL,62,0,0,66.2,11,5,6,0,0,1.000,,,-1,-3,0,1.49,0.18,P,fernary01
402,Jose A. Ferrer,24,WSN,NL,31,0,0,32.0,4,0,4,0,0,1.000,,,0,0,0,1.13,0.13,P,ferrejo01
403,David Festa,24,MIN,AL,14,13,0,64.1,5,1,4,0,0,1.000,,,-1,-3,0,0.70,0.36,P,festada01
404,Matt Festa,31,TOT,ZZ,19,0,0,23.2,5,2,3,0,0,1.000,,,-1,-50,0,1.90,0.26,P,festama01
405,J.P. Feyereisen,31,LAD,NL,10,0,0,11.0,3,2,1,0,0,1.000,,,0,0,0,2.45,0.30,P,feyerjo01
406,Kyle Finnegan,32,WSN,NL,65,0,0,63.2,5,0,5,0,1,1.000,,,-2,-6,-1,0.71,0.08,P,finneky01
407,Richard Fitts,24,BOS,AL,4,4,0,20.2,5,1,4,0,1,1.000,,,1,10,0,2.18,1.25,P,fittsri01
408,Tyler Fitzgerald,26,SFG,NL,88,81,71,728.1,314,120,180,14,33,.955,-5,-8,-5,-8,-2,3.71,3.19,SS-OF-2B-1B-P,fitzgty01
409,Jack Flaherty,28,TOT,ZZ,28,28,0,162.0,19,10,9,0,0,1.000,,,-1,-7,0,1.06,0.68,P,flaheja01
410,Josh Fleming,28,PIT,NL,25,3,0,31.1,13,3,10,0,3,1.000,,,4,26,0,3.73,0.52,P,flemijo01
411,David Fletcher,30,ATL,NL,5,3,1,28.0,20,6,14,0,4,1.000,1,57,1,43,0,6.43,4.00,2B,fletcda02
412,Dominic Fletcher,26,CHW,AL,71,64,55,567.2,179,165,8,6,1,.966,-7,-15,7,14,3,2.74,2.44,OF,fletcdo01
413,Chris Flexen,29,CHW,AL,33,31,0,160.0,28,8,20,0,3,1.000,,,4,5,0,1.58,0.85,P,flexech01
414,Wilmer Flores,32,SFG,NL,57,44,39,400.1,416,377,36,3,41,.993,-3,-9,-2,-6,-1,9.28,7.12,1B-3B,florewi01
415,Estevan Florial,26,CLE,AL,22,16,9,144.0,37,35,1,1,0,.973,0,-1,3,25,0,2.25,1.64,OF,flories01
416,Dylan Floro,33,TOT,NL,66,0,0,68.2,12,6,6,0,0,1.000,,,-1,-17,0,1.57,0.18,P,florody01
417,Jason Foley,28,DET,AL,69,0,0,60.0,6,1,5,0,1,1.000,,,-1,-3,0,0.90,0.09,P,foleyja01
418,Mike Ford,31,CIN,NL,2,2,2,17.0,17,15,2,0,1,1.000,1,65,1,71,0,9.00,8.50,1B,fordmi01
419,Nick Fortes,27,MIA,NL,109,99,79,864.0,878,831,38,9,3,.990,0,0,5,7,2,9.05,7.97,C,forteni01
420,Justin Foscue,25,TEX,AL,3,1,0,11.0,9,7,2,0,1,1.000,0,-44,1,109,0,7.36,3.00,1B-2B,foscuju01
421,Matt Foster,29,CHW,AL,6,1,0,6.2,1,1,0,0,0,1.000,,,0,0,0,1.35,0.17,P,fostema01
422,Jake Fraley,29,CIN,NL,100,91,71,776.2,199,193,4,2,0,.990,5,8,-1,-1,0,2.28,1.97,OF,fraleja01
423,J.P. France,29,HOU,AL,5,5,0,25.1,1,1,0,0,0,1.000,,,0,0,0,0.36,0.20,P,francjp01
424,Ty France,29,TOT,MLB,133,124,115,1106.0,944,843,96,5,82,.995,-2,-2,-8,-8,1,7.64,7.01,1B-2B,francty01
425,Bowden Francis,28,TOR,AL,27,13,0,103.2,11,4,7,0,0,1.000,,,3,6,1,0.95,0.41,P,francbo01
426,Adam Frazier,32,KCR,AL,81,58,32,503.0,188,95,90,3,14,.984,3,8,5,11,2,3.31,2.13,2B-OF-3B-1B,fraziad01
427,Kyle Freeland,31,COL,NL,21,21,0,113.1,12,2,9,1,0,.917,,,-1,-2,-1,0.87,0.52,P,freelky01
428,Freddie Freeman,34,LAD,NL,147,147,132,1270.1,1141,1022,115,4,93,.996,0,0,1,1,1,8.06,7.73,1B,freemfr01
429,Tyler Freeman,25,CLE,AL,113,90,71,817.0,240,205,32,3,6,.988,1,2,3,4,3,2.61,1.96,OF-SS-2B-3B,freemty01
430,Sal Frelick,24,MIL,NL,142,129,97,1132.0,280,271,6,3,1,.989,4,4,15,15,4,2.20,1.94,OF-3B,frelisa01
431,Luis Frías,26,TOT,ZZ,11,0,0,9.2,1,0,0,1,0,.000,,,0,0,0,0.00,0.00,P,friaslu01
432,Max Fried,30,ATL,NL,29,29,2,174.1,27,10,17,0,0,1.000,,,0,0,-1,1.39,0.93,P,friedma01
433,TJ Friedl,28,CIN,NL,83,79,69,678.0,198,192,3,3,1,.985,2,3,-5,-8,-1,2.59,2.38,OF,friedtj01
434,David Fry,28,CLE,AL,58,46,31,414.0,281,265,14,2,8,.993,-2,-6,-4,-11,-1,6.07,4.16,1B-C-OF-3B,fryda01
435,Carson Fulmer,30,LAA,AL,37,8,0,86.2,9,2,5,2,0,.778,,,0,0,0,0.73,0.19,P,fulmeca01
436,Kody Funderburk,27,MIN,AL,27,0,0,34.2,8,1,6,1,0,.875,,,0,0,0,1.82,0.26,P,fundeko01
437,Hunter Gaddis,26,CLE,AL,78,0,0,74.2,13,5,6,2,0,.846,,,2,5,0,1.33,0.14,P,gaddihu01
438,Giovanny Gallegos,32,STL,NL,21,0,0,20.2,8,4,4,0,0,1.000,,,1,10,0,3.48,0.38,P,gallegi01
439,Zac Gallen,28,ARI,NL,28,28,0,148.0,19,12,7,0,0,1.000,,,-3,-4,0,1.16,0.68,P,galleza01
440,Joey Gallo,30,WSN,NL,69,61,55,554.2,479,453,25,1,45,.998,4,9,6,12,2,7.76,6.83,1B-OF,gallojo01
441,Ben Gamel,32,TOT,ZZ,35,26,12,230.0,45,45,0,0,0,1.000,2,12,-2,-10,0,1.76,1.29,OF,gamelbe01
442,Gerson Garabito,28,TEX,AL,18,2,0,26.1,3,2,1,0,0,1.000,,,0,0,0,1.03,0.17,P,garabge01
443,Adolis García,31,TEX,AL,131,130,118,1124.2,262,253,5,4,3,.985,5,5,-5,-5,-1,2.06,1.97,OF,garciad02
444,Aramis Garcia,31,PHI,NL,3,2,2,18.0,17,15,2,0,0,1.000,1,37,1,67,0,8.50,5.67,C,garciar01
445,Avisaíl García,33,MIA,NL,16,13,10,114.0,39,38,1,0,0,1.000,0,5,0,0,0,3.08,2.44,OF,garciav01
446,Deivi García,25,CHW,AL,14,0,0,14.0,0,0,0,0,0,,,,-1,-14,,0.00,0.00,P,garcide01
447,Luis García,37,TOT,AL,60,0,0,59.0,6,3,3,0,0,1.000,,,-2,-40,0,0.92,0.10,P,garcilu03
448,Luis García Jr.,24,WSN,NL,129,122,115,1086.0,536,221,305,10,84,.981,1,1,-5,-6,0,4.36,4.08,2B,garcilu04
449,Maikel Garcia,24,KCR,AL,156,142,125,1270.0,398,112,272,14,29,.965,-8,-7,-1,0,1,2.72,2.31,3B-2B-SS-OF,garcima01
450,Robert Garcia,28,WSN,NL,72,0,0,59.2,4,0,3,1,1,.750,,,-1,-3,0,0.45,0.04,P,garciro04
451,Yimi García,33,TOT,AL,39,0,0,39.0,3,1,2,0,0,1.000,,,0,0,0,0.69,0.08,P,garciyi01
452,Amir Garrett,32,LAA,AL,6,0,0,5.1,0,0,0,0,0,,,,-1,-38,,0.00,0.00,P,garream01
453,Braxton Garrett,26,MIA,NL,7,7,1,37.0,4,1,3,0,0,1.000,,,0,0,0,0.97,0.57,P,garrebr01
454,Reed Garrett,31,NYM,NL,53,0,0,57.1,9,1,7,1,0,.889,,,1,3,0,1.26,0.15,P,garrere01
455,Mitch Garver,33,SEA,AL,25,23,18,190.0,192,183,9,0,2,1.000,-1,-5,-5,-32,0,9.09,7.68,C,garvemi01
456,Mickey Gasper,28,BOS,AL,8,3,3,32.0,16,5,11,0,0,1.000,1,27,1,38,0,4.50,2.00,2B-1B,gaspemi01
457,Robert Gasser,25,MIL,NL,5,5,0,28.0,6,3,2,1,0,.833,,,-1,-7,0,1.61,1.00,P,gassero01
458,Kevin Gausman,33,TOR,AL,31,31,2,181.0,17,7,9,1,0,.941,,,-2,-2,0,0.80,0.52,P,gausmke01
459,Zack Gelof,24,OAK,AL,138,136,134,1209.2,603,264,332,7,92,.988,2,2,-1,-1,1,4.43,4.32,2B,gelofza01
460,Tyler Gentry,25,KCR,AL,3,2,0,14.0,1,1,0,0,0,1.000,0,8,0,0,0,0.64,0.33,OF,gentrty01
461,Domingo Germán,31,PIT,NL,7,2,0,20.2,3,2,1,0,0,1.000,,,-1,-10,0,1.31,0.43,P,germado01
462,Ian Gibaut,30,CIN,NL,2,0,0,2.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P,gibauia01
463,Kyle Gibson,36,STL,NL,30,30,0,169.2,28,16,12,0,1,1.000,,,0,0,0,1.49,0.93,P,gibsoky01
464,Luis Gil,26,NYY,AL,29,29,0,151.2,22,14,5,3,1,.864,,,0,0,0,1.13,0.66,P,gillu01
465,Logan Gilbert,27,SEA,AL,33,33,1,208.2,38,26,9,3,0,.921,,,-6,-6,0,1.51,1.06,P,gilbelo01
466,Tyler Gilbert,30,PHI,NL,6,0,0,8.1,1,1,0,0,0,1.000,,,0,0,0,1.08,0.17,P,gilbety01
467,Lucas Gilbreath,28,COL,NL,3,0,0,1.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P,gilbrlu01
468,Logan Gillaspie,27,SDP,NL,9,0,0,11.1,2,0,2,0,0,1.000,,,0,0,0,1.59,0.22,P,gillalo01
469,Connor Gillispie,26,CLE,AL,3,0,0,8.0,1,0,1,0,0,1.000,,,0,0,0,1.13,0.33,P,gillico01
470,Andrés Giménez,25,CLE,AL,152,151,144,1331.0,638,233,396,9,93,.986,14,12,20,18,1,4.25,4.14,2B,gimenan01
471,Kevin Ginkel,30,ARI,NL,72,0,0,70.0,8,4,4,0,0,1.000,,,0,0,0,1.03,0.11,P,ginkeke01
472,J.T. Ginn,25,OAK,AL,8,6,0,34.0,6,5,1,0,1,1.000,,,1,6,0,1.59,0.75,P,ginnjt01
473,Tyler Glasnow,30,LAD,NL,22,22,0,134.0,23,15,8,0,0,1.000,,,-3,-4,0,1.54,1.05,P,glasnty01
474,Paul Goldschmidt,36,STL,NL,150,148,143,1313.0,1323,1216,102,5,137,.996,-7,-6,0,0,0,9.03,8.79,1B,goldspa01
475,Austin Gomber,30,COL,NL,30,30,0,165.0,22,6,15,1,0,.955,,,2,2,0,1.15,0.70,P,gombeau01
476,Yan Gomes,36,CHC,NL,34,27,23,244.0,251,245,6,0,0,1.000,-1,-6,-5,-25,-1,9.26,7.38,C,gomesya01
477,Yoendrys Gómez,24,NYY,AL,5,0,0,11.1,2,1,1,0,0,1.000,,,0,0,0,1.59,0.40,P,gomezyo01
478,Marco Gonzales,32,PIT,NL,7,7,0,33.2,5,1,4,0,1,1.000,,,1,6,0,1.34,0.71,P,gonzama02
479,Nick Gonzales,25,PIT,NL,93,91,87,806.1,401,153,241,7,64,.983,-1,-1,-5,-7,-2,4.40,4.15,2B-SS-3B,gonzani01
480,Romy Gonzalez,27,BOS,AL,85,40,17,407.2,216,133,78,5,18,.977,-4,-13,0,0,0,4.66,2.18,2B-1B-SS-3B-OF,gonzaro01
481,Victor González,28,NYY,AL,27,0,0,23.1,6,3,3,0,0,1.000,,,1,9,0,2.31,0.22,P,gonzavi02
482,Hunter Goodman,24,COL,NL,57,47,27,411.0,215,205,8,2,5,.991,-3,-9,-4,-11,-3,4.66,3.55,OF-C-1B,goodmhu01
483,Niko Goodrum,32,TOT,AL,12,7,7,75.1,25,15,7,3,2,.880,-6,-102,-5,-80,0,2.63,1.83,3B-OF-1B-SS-2B,goodrni01
484,Nick Gordon,28,MIA,NL,82,68,53,588.1,148,136,9,3,1,.980,1,3,-7,-14,-1,2.22,1.75,OF-2B,gordoni01
485,Tanner Gordon,26,COL,NL,8,8,0,34.1,4,0,4,0,1,1.000,,,1,6,0,1.05,0.50,P,gordota01
486,MacKenzie Gore,25,WSN,NL,32,32,0,166.1,18,2,13,3,1,.833,,,-3,-4,0,0.81,0.47,P,gorema01
487,Nolan Gorman,24,STL,NL,106,97,93,874.1,400,147,243,10,68,.975,-6,-8,-4,-5,0,4.01,3.64,2B-3B,gormano01
488,Anthony Gose,33,CLE,AL,3,0,0,4.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P,gosean01
489,Gordon Graceffo,24,STL,NL,2,1,0,7.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P,gracego01
490,Yasmani Grandal,35,PIT,NL,71,62,54,563.1,589,572,10,7,1,.988,-4,-8,0,0,0,9.30,7.97,C-1B,grandya01
491,Brusdar Graterol,25,LAD,NL,7,0,0,7.1,2,2,0,0,0,1.000,,,0,0,0,2.45,0.29,P,gratebr01
492,Jon Gray,32,TEX,AL,24,19,0,102.2,18,8,10,0,0,1.000,,,0,0,0,1.58,0.78,P,grayjo02
493,Josiah Gray,26,WSN,NL,2,2,0,8.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P,grayjo03
494,Sonny Gray,34,STL,NL,28,28,0,166.1,31,14,17,0,1,1.000,,,-2,-2,0,1.68,1.11,P,grayso01
495,Tristan Gray,28,TOT,MLB,13,7,6,73.0,45,29,16,0,4,1.000,1,22,3,49,0,5.55,3.21,1B-3B,graytr01
496,Chad Green,33,TOR,AL,53,0,0,53.1,5,2,3,0,0,1.000,,,0,0,0,0.84,0.09,P,greench03
497,Hunter Greene,24,CIN,NL,26,26,0,150.1,14,5,9,0,0,1.000,,,-1,-1,0,0.84,0.54,P,greenhu01
498,Riley Greene,23,DET,AL,106,104,88,915.0,210,203,4,3,1,.986,-5,-6,14,18,6,2.04,1.95,OF,greenri03
499,Randal Grichuk,32,ARI,NL,57,46,20,381.0,98,97,1,0,0,1.000,2,7,3,9,0,2.31,1.72,OF,grichra01
500,Trent Grisham,27,NYY,AL,69,52,44,485.1,146,141,3,2,2,.986,1,3,0,0,-1,2.67,2.09,OF,grishtr01
501,Vaughn Grissom,23,BOS,AL,30,28,26,245.0,123,35,85,3,16,.976,3,15,1,5,0,4.41,4.00,2B,grissva01
502,Robbie Grossman,34,TOT,AL,38,27,19,231.1,57,55,1,1,0,.982,0,0,-1,-5,0,2.18,1.47,OF,grossro01
503,Michael Grove,27,LAD,NL,39,2,0,51.0,7,3,4,0,0,1.000,,,1,4,0,1.24,0.18,P,grovemi01
504,Sean Guenther,28,DET,AL,17,0,0,21.0,2,1,1,0,0,1.000,,,0,0,0,0.86,0.12,P,guentse01
505,Luis Guerrero,23,BOS,AL,9,0,0,10.0,1,1,0,0,0,1.000,,,0,0,0,0.90,0.11,P,guerrlu01
506,Vladimir Guerrero Jr.,25,TOR,AL,129,129,118,1126.1,987,885,90,12,93,.988,-6,-6,-1,-1,2,7.79,7.33,1B-3B,guerrvl02
507,Luis Guillorme,29,TOT,ZZ,75,45,34,441.1,186,68,116,2,29,.989,5,14,2,5,0,3.75,2.36,2B-3B-SS-P,guilllu01
508,Lourdes Gurriel Jr.,30,ARI,NL,127,120,108,1060.0,248,239,4,5,0,.980,6,7,3,3,-2,2.06,1.90,OF-1B,gurrilo01
509,Yuli Gurriel,40,KCR,AL,12,12,9,101.0,82,76,6,0,4,1.000,1,7,2,24,0,7.31,6.83,1B,gourryu01
510,Vladimir Gutierrez,28,MIA,NL,1,0,0,4.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P,gutievl01
511,Eric Haase,31,MIL,NL,23,16,14,151.1,149,144,3,2,0,.987,-1,-8,-2,-16,1,8.74,6.39,C,haaseer01
512,Josh Hader,30,HOU,AL,71,0,0,71.0,9,3,6,0,0,1.000,,,2,6,0,1.14,0.13,P,haderjo01
513,Sam Haggerty,30,SEA,AL,7,5,3,48.0,8,6,1,1,0,.875,2,41,0,0,0,1.31,1.00,OF,haggesa01
514,DL Hall,25,MIL,NL,13,7,0,43.0,3,0,3,0,0,1.000,,,0,0,0,0.63,0.23,P,halldl01
515,Seth Halvorsen,24,COL,NL,12,0,0,12.1,1,1,0,0,0,1.000,,,-1,-16,0,0.73,0.08,P,halvose01
516,David Hamilton,26,BOS,AL,94,78,55,699.2,330,115,205,10,40,.970,0,1,4,7,-2,4.12,3.17,SS-2B,hamilda03
517,Ian Hamilton,29,NYY,AL,35,0,0,37.2,5,5,0,0,1,1.000,,,-1,-5,0,1.19,0.14,P,hamilia01
518,Garrett Hampson,29,KCR,AL,112,59,28,567.1,191,148,40,3,11,.984,8,17,9,19,2,2.98,1.49,OF-2B-1B-SS-3B-P,hampsga01
519,Emerson Hancock,25,SEA,AL,12,12,0,60.2,13,9,2,2,0,.846,,,0,0,0,1.63,0.92,P,hancoem01
520,Brenan Hanifee,26,DET,AL,21,3,0,29.1,9,3,5,1,0,.889,,,0,0,0,2.45,0.38,P,hanifbr01
521,Mitch Haniger,33,SEA,AL,90,80,65,702.1,171,162,4,5,0,.971,-2,-3,-1,-1,-1,2.13,1.84,OF,hanigmi01
522,Ian Happ,29,CHC,NL,144,144,131,1248.1,319,307,11,1,2,.997,19,19,8,7,2,2.29,2.21,OF,happia01
523,Bryce Harper,31,PHI,NL,142,141,131,1233.1,1150,1050,95,5,99,.996,7,7,5,5,-3,8.36,8.12,1B,harpebr03
524,Brett Harris,26,OAK,AL,35,31,28,280.0,82,20,59,3,9,.963,0,1,-4,-17,-1,2.54,2.26,3B,harribr02
525,Hogan Harris,27,OAK,AL,21,9,0,72.1,7,1,5,1,0,.857,,,0,0,0,0.75,0.29,P,harriho03
526,Michael Harris II,23,ATL,NL,110,109,106,960.2,235,232,1,2,0,.991,5,6,11,13,1,2.18,2.12,OF,harrimi04
527,Kyle Harrison,22,SFG,NL,24,24,0,124.1,14,2,12,0,1,1.000,,,-2,-3,0,1.01,0.58,P,harriky01
528,Geoff Hartlieb,30,COL,NL,5,0,0,9.0,2,2,0,0,0,1.000,,,0,0,0,2.00,0.40,P,hartlge01
529,Grant Hartwig,26,NYM,NL,4,0,0,6.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P,hartwgr01
530,Hunter Harvey,29,TOT,ZZ,49,0,0,50.2,7,6,1,0,0,1.000,,,-4,-94,0,1.24,0.14,P,harvehu01
531,Ke'Bryan Hayes,27,PIT,NL,96,93,92,829.2,265,75,185,5,28,.981,8,11,10,14,0,2.82,2.71,3B,hayeske01
532,Austin Hays,28,TOT,ZZ,76,59,48,541.2,118,115,2,1,0,.992,-6,-13,-8,-17,-2,1.94,1.54,OF,haysau01
533,Brent Headrick,26,MIN,AL,1,0,0,3.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P,headrbr01
534,Andrew Heaney,33,TEX,AL,32,31,0,160.0,12,4,8,0,0,1.000,,,-1,-1,0,0.68,0.38,P,heanean01
535,Jonathan Heasley,27,BAL,AL,4,0,0,5.1,2,1,1,0,0,1.000,,,0,0,0,3.38,0.50,P,heasljo01
536,Austin Hedges,31,CLE,AL,66,46,30,398.2,441,423,15,3,2,.993,3,9,5,15,1,9.89,6.64,C-P,hedgeau01
537,Jonah Heim,29,TEX,AL,119,110,103,977.1,1011,967,37,7,5,.993,-8,-10,5,6,1,9.25,8.44,C,heimjo01
538,Tyler Heineman,33,TOT,AL,7,4,4,39.0,42,39,3,0,1,1.000,2,53,2,61,0,9.69,6.00,C-P,heinety01
539,Ben Heller,32,PIT,NL,8,0,0,12.0,1,1,0,0,0,1.000,,,0,0,0,0.75,0.13,P,hellebe01
540,Michael Helman,28,MIN,AL,8,1,0,23.0,3,2,0,1,0,.667,0,-10,0,0,0,0.78,0.25,OF-3B,helmami01
541,Ryan Helsley,29,STL,NL,65,0,0,66.1,9,6,3,0,2,1.000,,,0,0,0,1.22,0.14,P,helslry01
542,Gunnar Henderson,23,BAL,AL,157,157,149,1384.0,635,232,378,25,71,.961,1,1,5,4,-2,3.97,3.89,SS,hendegu01
543,Kyle Hendricks,34,CHC,NL,29,24,0,130.2,19,7,11,1,1,.947,,,0,0,0,1.24,0.62,P,hendrky01
544,Blair Henley,27,HOU,AL,1,1,0,0.1,0,0,0,0,0,,,,0,0,0,0.00,0.00,P,henlebl01
545,Edgardo Henriquez,22,LAD,NL,3,0,0,3.1,1,1,0,0,0,1.000,,,0,0,0,2.70,0.33,P,henried01
546,Ronny Henriquez,24,MIN,AL,16,1,0,19.1,5,0,5,0,0,1.000,,,2,21,0,2.33,0.31,P,henriro01
547,Tommy Henry,26,ARI,NL,9,7,0,38.1,4,3,1,0,0,1.000,,,0,0,0,0.94,0.44,P,henryto01
548,David Hensley,28,MIA,NL,18,11,6,107.0,37,34,3,0,2,1.000,-2,-25,-2,-22,0,3.11,1.85,OF-1B-P-3B,henslda01
