Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos Summary,Name-additional
Akil Baddoo,25,28,21,15,188.2,42,42,0,0,0,1,1,6,-1,-6,0,2,1.4,,,,,,,,LF-RF-CF,baddoak01
Javier Báez,31,80,76,73,672.1,320,122,189,9,39,0.972,-1,-2,-4,-7,2,4.16,3.89,,,,,,,,SS,baezja01
Beau Brieske,26,46,12,0,67.2,11,3,8,0,1,1,,,2,6,1,1.46,0.24,,,5,3,0.38,0.22,0,P,briesbe01
Mark Canha,35,61,59,48,515.1,281,265,13,3,22,0.989,-4,-8,-4,-9,-1,4.86,2.9,,,,,,,,1B-LF-RF-DH,canhama01
Kerry Carpenter,26,47,39,26,339.2,94,88,5,1,0,0.989,-1,-3,1,4,1,2.46,1.12,,,,,,,,RF-LF-DH,carpeke01
Andrew Chafin,34,41,0,0,37,3,3,0,0,0,1,,,0,0,0,0.73,0.07,,,1,0,0.00,0.22,0,P,chafian01
Dillon Dingler,25,27,24,21,213.2,176,168,7,1,0,0.994,0,-2,0,0,1,7.37,6.48,4,1,15,2,0.12,0.22,0,C,dingldi01
Mason Englert,24,12,1,0,21.2,1,1,0,0,0,1,,,0,0,0,0.42,0.08,,,1,1,0.50,0.22,0,P,englema01
Alex Faedo,28,37,6,0,57.1,8,3,4,1,1,0.875,,,1,3,0,1.1,0.19,,,1,4,0.80,0.22,0,P,faedoal01
Jack Flaherty,28,18,18,0,106.2,12,6,6,0,0,1,,,0,0,0,1.01,0.67,,,6,2,0.25,0.22,1,P,flaheja01
Jason Foley,28,69,0,0,60,6,1,5,0,1,1,,,-1,-3,0,0.9,0.09,,,9,0,0.00,0.22,0,P,foleyja01
Riley Greene,23,106,104,88,915,210,203,4,3,1,0.986,-5,-6,14,18,6,2.04,1.42,,,,,,,,LF-CF-RF-DH,greenri03
Sean Guenther,28,17,0,0,21,2,1,1,0,0,1,,,0,0,0,0.86,0.12,,,0,0,,,0,P,guentse01
Brenan Hanifee,26,21,3,0,29.1,9,3,5,1,0,0.889,,,0,0,0,2.45,0.38,,,3,0,0.00,0.22,0,P,hanifbr01
Tyler Holton,28,66,9,0,94.1,16,4,12,0,0,1,,,2,4,0,1.53,0.24,,,3,0,0.00,0.22,0,P,holtoty01
Brant Hurter,25,10,1,0,45.1,4,3,1,0,0,1,,,-1,-4,0,0.79,0.4,,,1,0,0.00,0.22,0,P,hurtebr01
Andy Ibáñez,31,85,45,24,453.2,255,147,106,2,32,0.992,5,12,8,21,0,5.02,2.58,,,,,,,,2B-3B-1B-LF-SS-DH,ibanean01
Jackson Jobe,21,2,0,0,4,1,0,1,0,0,1,,,0,0,0,2.25,0.5,,,0,0,,,0,P,jobeja01
Jace Jung,23,28,23,14,191,48,10,34,4,2,0.917,-5,-30,-6,-38,0,2.07,1.42,,,,,,,,3B-2B-DH,jungja01
Colt Keith,22,133,125,108,1086.2,515,194,309,12,68,0.977,-2,-2,-8,-9,1,4.17,3.42,,,,,,,,2B-DH,keithco01
Carson Kelly,29,60,52,49,472.1,490,461,27,2,7,0.996,3,7,-2,-5,1,9.3,8,2,18,42,18,0.30,0.22,1,C-DH,kellyca02
